sample_id,target_state,protocol,hippocampus,amygdala,pfc,sensory,insula,motor,cue_strength,stimulation_strength,feedback_strength,similarity_to_target,reconstruction_error,safety_risk
S00050,calm,dbs,0.4023,0.3745,0.6603,0.4506,0.3802,0.2829,0.3586,0.7021,0.4733,0.9820,0.1179,0.3903
S00051,calm,mimo,0.3985,0.3944,0.6776,0.4725,0.3074,0.3690,0.8421,0.3829,0.7086,0.9784,0.1191,0.2666
S00052,calm,cue,0.4052,0.2492,0.6420,0.5574,0.3338,0.3613,0.7657,0.4190,0.7233,0.9899,0.0982,0.1814
S00053,calm,neurofeedback,0.4161,0.3246,0.6224,0.4532,0.3948,0.4789,0.7320,0.3690,0.8974,0.9746,0.1243,0.1894
S00054,calm,dbs,0.4413,0.2865,0.4813,0.5290,0.2811,0.3978,0.4643,0.3131,0.3009,0.9587,0.1679,0.3476
S00055,calm,mimo,0.4292,0.3906,0.6630,0.4534,0.3572,0.3467,0.4963,0.1422,0.5518,0.9795,0.1168,0.2818
S00056,calm,cue,0.4765,0.3626,0.6662,0.4517,0.3169,0.3982,0.3708,0.5356,0.6699,0.9786,0.1157,0.2224
S00057,calm,neurofeedback,0.3998,0.3002,0.7389,0.4971,0.4392,0.4780,0.8979,0.5681,0.4972,0.9877,0.0824,0.1704
S00058,calm,dbs,0.3356,0.3546,0.6447,0.4117,0.4847,0.2239,0.5527,0.5955,0.2860,0.9720,0.1410,0.4214
S00059,calm,mimo,0.4050,0.3292,0.6055,0.4700,0.3030,0.4481,0.6421,0.2148,0.5034,0.9742,0.1333,0.2490
S00060,calm,cue,0.4344,0.2221,0.6210,0.5180,0.4457,0.2197,0.8942,0.2971,0.9324,0.9853,0.1145,0.2005
S00061,calm,neurofeedback,0.4374,0.3124,0.6759,0.5382,0.4153,0.4625,0.3819,0.5020,0.6467,0.9841,0.0942,0.1803
S00062,calm,dbs,0.3283,0.3131,0.6938,0.4561,0.4808,0.4415,0.3361,0.5685,0.2905,0.9804,0.1082,0.3750
S00063,calm,mimo,0.4724,0.4176,0.6911,0.5636,0.4914,0.4431,0.1921,0.6977,0.2626,0.9752,0.1157,0.3260
S00064,calm,cue,0.4874,0.1862,0.5335,0.4312,0.4829,0.3659,0.6379,0.4707,0.8079,0.9689,0.1456,0.2111
S00065,calm,neurofeedback,0.3602,0.2467,0.5483,0.5400,0.2963,0.3352,0.4266,0.2039,0.9070,0.9811,0.1426,0.1544
S00066,calm,dbs,0.3893,0.4086,0.4321,0.4094,0.3810,0.4881,0.4319,0.1794,0.5415,0.9215,0.2082,0.4877
S00067,calm,mimo,0.4764,0.2802,0.6082,0.5017,0.4248,0.2106,0.4185,0.2339,0.2477,0.9794,0.1241,0.2571
S00068,calm,cue,0.3737,0.2041,0.6813,0.3608,0.4787,0.2514,0.2657,0.2496,0.8458,0.9864,0.1218,0.1884
S00069,calm,neurofeedback,0.3650,0.1471,0.6733,0.4892,0.4486,0.3452,0.7320,0.2628,0.4090,0.9933,0.0932,0.1282
S00070,calm,dbs,0.3946,0.3427,0.5803,0.4830,0.3760,0.4002,0.7266,0.6402,0.5672,0.9754,0.1319,0.3920
S00071,calm,mimo,0.3942,0.4027,0.6199,0.4529,0.4082,0.2412,0.3200,0.4998,0.5887,0.9712,0.1401,0.3119
S00072,calm,cue,0.4152,0.2993,0.4328,0.4551,0.4304,0.3165,0.4612,0.2571,0.4211,0.9533,0.1830,0.2684
S00073,calm,neurofeedback,0.4317,0.2510,0.6467,0.3861,0.3501,0.3926,0.6910,0.6071,0.5951,0.9880,0.1152,0.1504
S00074,calm,dbs,0.3717,0.1700,0.6972,0.4375,0.4351,0.3644,0.5623,0.2476,0.6754,0.9949,0.0895,0.2557
S00075,calm,mimo,0.4020,0.1975,0.6858,0.4433,0.3426,0.2337,0.1210,0.6775,0.8136,0.9975,0.1053,0.1748
S00076,calm,cue,0.3994,0.2612,0.6008,0.5131,0.3971,0.2448,0.6969,0.2491,0.4859,0.9872,0.1201,0.2101
S00077,calm,neurofeedback,0.4579,0.1754,0.5778,0.4179,0.4393,0.3500,0.4885,0.3852,0.3685,0.9826,0.1289,0.1520
S00078,calm,dbs,0.3278,0.1560,0.6181,0.3400,0.3460,0.4161,0.2690,0.2023,0.3544,0.9844,0.1474,0.2369
S00079,calm,mimo,0.4273,0.3228,0.6852,0.4508,0.2957,0.2402,0.1150,0.6727,0.8397,0.9866,0.1164,0.2254
S00080,calm,cue,0.4191,0.2628,0.4866,0.4623,0.3323,0.2726,0.7756,0.2660,0.6211,0.9753,0.1659,0.2181
S00081,calm,neurofeedback,0.3681,0.1880,0.6772,0.5020,0.3944,0.2693,0.7552,0.6090,0.3390,0.9971,0.0934,0.1316
S00082,calm,dbs,0.4736,0.3008,0.5495,0.3883,0.3767,0.3027,0.5516,0.5012,0.6496,0.9743,0.1499,0.3726
S00083,calm,mimo,0.4732,0.3074,0.6085,0.4763,0.3936,0.4432,0.7654,0.1660,0.8414,0.9771,0.1187,0.2622
S00084,calm,cue,0.4897,0.2635,0.5657,0.4309,0.2587,0.2741,0.2207,0.1571,0.2328,0.9775,0.1515,0.1849
S00085,calm,neurofeedback,0.4642,0.2920,0.5477,0.3539,0.4202,0.3053,0.4270,0.3230,0.6283,0.9710,0.1551,0.1948
S00086,calm,dbs,0.4529,0.2381,0.6202,0.5375,0.3417,0.3050,0.2131,0.3299,0.9242,0.9892,0.1058,0.2924
S00087,calm,mimo,0.4119,0.2613,0.5746,0.4500,0.5113,0.3628,0.5211,0.5076,0.4887,0.9749,0.1310,0.2792
S00088,calm,cue,0.4086,0.3421,0.4421,0.4892,0.2805,0.4709,0.7681,0.6502,0.1802,0.9367,0.1944,0.2494
S00089,calm,neurofeedback,0.4664,0.2597,0.6460,0.3782,0.4547,0.3463,0.2900,0.3865,0.3779,0.9834,0.1144,0.1740
S00090,calm,dbs,0.4634,0.3253,0.5821,0.3994,0.4152,0.4669,0.4055,0.4365,0.9230,0.9657,0.1429,0.3941
S00091,calm,mimo,0.4287,0.4251,0.5747,0.5029,0.3386,0.2282,0.3182,0.6632,0.2679,0.9601,0.1582,0.3144
S00092,calm,cue,0.4542,0.1854,0.5349,0.5406,0.4300,0.2759,0.8447,0.6235,0.6700,0.9759,0.1379,0.1978
S00093,calm,neurofeedback,0.3358,0.2195,0.6423,0.3698,0.3838,0.4378,0.5390,0.5563,0.5722,0.9836,0.1293,0.1464
S00094,calm,dbs,0.4407,0.2292,0.4984,0.4823,0.2561,0.4962,0.2936,0.2061,0.4934,0.9531,0.1737,0.2922
S00095,calm,mimo,0.4028,0.1530,0.7021,0.4687,0.4214,0.3802,0.4761,0.5014,0.9348,0.9953,0.0803,0.1702
S00096,calm,cue,0.4464,0.3387,0.6374,0.3768,0.4698,0.3341,0.2401,0.5875,0.5217,0.9756,0.1270,0.2543
S00097,calm,neurofeedback,0.4644,0.2095,0.6193,0.5167,0.4795,0.2967,0.8913,0.4458,0.3527,0.9848,0.1056,0.1653
S00098,calm,dbs,0.4808,0.2665,0.6842,0.5277,0.3019,0.3740,0.8790,0.4177,0.5480,0.9892,0.0900,0.2766
S00099,calm,mimo,0.4301,0.1691,0.7136,0.4704,0.4921,0.3099,0.5821,0.3757,0.7018,0.9927,0.0801,0.1953
S00100,calm,cue,0.4236,0.3830,0.3931,0.4128,0.4661,0.3069,0.6435,0.6917,0.2642,0.9240,0.2117,0.3217
S00101,calm,neurofeedback,0.3908,0.3108,0.6044,0.4236,0.4016,0.3673,0.7105,0.4644,0.5736,0.9830,0.1248,0.1887
S00102,calm,dbs,0.3347,0.3126,0.6300,0.5558,0.3956,0.2484,0.3285,0.6699,0.5430,0.9822,0.1210,0.3624
S00103,calm,mimo,0.4748,0.3266,0.7321,0.5103,0.2977,0.2996,0.8131,0.6308,0.7194,0.9883,0.0899,0.2170
S00104,calm,cue,0.4134,0.4632,0.5880,0.4647,0.4489,0.4479,0.5413,0.4872,0.2190,0.9524,0.1583,0.3139
S00105,calm,neurofeedback,0.3872,0.3590,0.6736,0.5658,0.2878,0.2787,0.8024,0.5882,0.6618,0.9800,0.1172,0.1725
S00106,calm,dbs,0.4561,0.3051,0.5698,0.4710,0.3964,0.3382,0.8159,0.6276,0.3505,0.9790,0.1283,0.3767
S00107,calm,mimo,0.3830,0.1853,0.6559,0.5109,0.4145,0.4462,0.7740,0.4582,0.8102,0.9879,0.0969,0.1953
S00108,calm,cue,0.3819,0.1734,0.4473,0.4553,0.4024,0.2431,0.4864,0.6028,0.6980,0.9714,0.1826,0.2034
S00109,calm,neurofeedback,0.3376,0.2788,0.5589,0.3966,0.2783,0.3004,0.2046,0.3423,0.5993,0.9876,0.1602,0.1606
S00110,calm,dbs,0.3858,0.2823,0.6101,0.4442,0.2967,0.4801,0.5621,0.3076,0.7605,0.9745,0.1362,0.3094
S00111,calm,mimo,0.4299,0.3790,0.6151,0.5431,0.4341,0.4210,0.8059,0.5126,0.5265,0.9728,0.1222,0.3081
S00112,calm,cue,0.4784,0.3729,0.4316,0.5513,0.3381,0.4453,0.5034,0.5786,0.3738,0.9312,0.1922,0.2789
S00113,calm,neurofeedback,0.4011,0.3107,0.5930,0.4190,0.3109,0.4101,0.1362,0.2022,0.4164,0.9784,0.1375,0.1729
S00114,calm,dbs,0.4656,0.2309,0.6670,0.5656,0.4279,0.4354,0.5259,0.5452,0.3898,0.9875,0.0853,0.3055
S00115,calm,mimo,0.4378,0.2035,0.6679,0.5113,0.4732,0.2675,0.7209,0.4666,0.7271,0.9904,0.0915,0.2179
S00116,calm,cue,0.4670,0.4333,0.6421,0.4970,0.2527,0.2466,0.2211,0.5343,0.4783,0.9613,0.1511,0.2429
S00117,calm,neurofeedback,0.4593,0.3458,0.6584,0.5481,0.4085,0.2727,0.8297,0.3254,0.4334,0.9829,0.1035,0.1938
S00118,calm,dbs,0.3474,0.3989,0.6903,0.3574,0.3052,0.3962,0.2658,0.5430,0.4036,0.9691,0.1431,0.3691
S00119,calm,mimo,0.4129,0.2214,0.6015,0.4097,0.3923,0.4900,0.3301,0.5485,0.4271,0.9751,0.1326,0.2200
S00120,childhood,cue,0.7058,0.4961,0.3097,0.6790,0.3391,0.3525,0.5248,0.5028,0.1920,0.9807,0.1995,0.3577
S00121,childhood,neurofeedback,0.8297,0.3524,0.4837,0.6890,0.6135,0.4306,0.8711,0.3127,0.6667,0.9866,0.1308,0.2645
S00122,childhood,dbs,0.8007,0.5681,0.5384,0.5246,0.5267,0.2257,0.4176,0.4172,0.8993,0.9867,0.1511,0.6219
S00123,childhood,mimo,0.7652,0.3457,0.4230,0.6537,0.4453,0.3770,0.7808,0.4008,0.3042,0.9873,0.1734,0.3385
S00124,childhood,cue,0.7791,0.3787,0.3153,0.6428,0.4327,0.2543,0.7616,0.4292,0.2194,0.9921,0.1828,0.3274
S00125,childhood,neurofeedback,0.6261,0.4090,0.4341,0.6223,0.6005,0.3889,0.6229,0.5357,0.1997,0.9876,0.1734,0.2903
S00126,childhood,dbs,0.6579,0.4411,0.4385,0.5391,0.5209,0.3841,0.2069,0.2119,0.7482,0.9883,0.1878,0.5622
S00127,childhood,mimo,0.7021,0.4631,0.4311,0.6939,0.4258,0.2878,0.6630,0.1669,0.6013,0.9948,0.1593,0.3907
S00128,childhood,cue,0.7639,0.3202,0.4072,0.7255,0.5643,0.3038,0.7470,0.3921,0.5606,0.9917,0.1466,0.3149
S00129,childhood,neurofeedback,0.8185,0.3512,0.4543,0.7238,0.6097,0.4495,0.8953,0.6807,0.2052,0.9857,0.1326,0.2681
S00130,childhood,dbs,0.7100,0.5122,0.4101,0.5441,0.5471,0.3526,0.4005,0.5296,0.6794,0.9913,0.1648,0.6314
S00131,childhood,mimo,0.7595,0.4137,0.3957,0.7255,0.5788,0.2291,0.5356,0.4392,0.8087,0.9979,0.1259,0.4161
S00132,childhood,cue,0.6645,0.2958,0.4748,0.5364,0.4051,0.2258,0.1807,0.1401,0.6282,0.9878,0.2293,0.2524
S00133,childhood,neurofeedback,0.6509,0.4077,0.4057,0.6211,0.4381,0.2644,0.3551,0.4788,0.6880,0.9976,0.1909,0.2628
S00134,childhood,dbs,0.7766,0.5453,0.4281,0.6266,0.5116,0.2765,0.4965,0.7034,0.9033,0.9969,0.1294,0.6353
S00135,childhood,mimo,0.8398,0.3907,0.3994,0.6894,0.5680,0.4389,0.8318,0.4574,0.9242,0.9875,0.1344,0.4006
S00136,childhood,cue,0.7831,0.5081,0.4638,0.6488,0.6363,0.3159,0.5823,0.6442,0.3005,0.9974,0.1017,0.4035
S00137,childhood,neurofeedback,0.6110,0.5536,0.4509,0.6726,0.5018,0.3599,0.4831,0.2656,0.6335,0.9881,0.1639,0.3200
S00138,childhood,dbs,0.7321,0.4745,0.4577,0.5919,0.4881,0.2755,0.4756,0.6238,0.8815,0.9969,0.1552,0.5670
S00139,childhood,mimo,0.8362,0.4217,0.5214,0.7774,0.5309,0.3264,0.7667,0.4196,0.6737,0.9946,0.0982,0.3780
S00140,childhood,cue,0.6338,0.5324,0.5480,0.6703,0.5483,0.3050,0.5337,0.5051,0.1970,0.9901,0.1460,0.3762
S00141,childhood,neurofeedback,0.7092,0.4833,0.3900,0.6562,0.4087,0.3177,0.5943,0.5201,0.6432,0.9929,0.1707,0.2866
S00142,childhood,dbs,0.6840,0.3800,0.3905,0.6978,0.4501,0.3197,0.8278,0.1842,0.2271,0.9932,0.1748,0.5074
S00143,childhood,mimo,0.8530,0.3909,0.4094,0.7316,0.4226,0.1994,0.7783,0.5122,0.8366,0.9889,0.1520,0.3583
S00144,childhood,cue,0.5764,0.5306,0.5278,0.5627,0.3323,0.1843,0.1763,0.4369,0.1840,0.9744,0.2332,0.3276
S00145,childhood,neurofeedback,0.7874,0.4537,0.3823,0.6677,0.5117,0.4420,0.8692,0.4722,0.7518,0.9882,0.1457,0.2974
S00146,childhood,dbs,0.6898,0.4876,0.5252,0.6474,0.6139,0.4402,0.6793,0.4205,0.9295,0.9862,0.1408,0.6030
S00147,childhood,mimo,0.8146,0.5003,0.3594,0.6732,0.5824,0.3709,0.3846,0.6847,0.4955,0.9943,0.1172,0.4692
S00148,childhood,cue,0.5450,0.3536,0.2806,0.4598,0.4369,0.3460,0.1852,0.1231,0.3966,0.9848,0.2731,0.3243
S00149,childhood,neurofeedback,0.5491,0.5504,0.5448,0.7190,0.5261,0.2357,0.4082,0.2951,0.4602,0.9821,0.1728,0.3083
S00150,childhood,dbs,0.6052,0.4244,0.4493,0.6254,0.4337,0.1981,0.4369,0.4105,0.2115,0.9953,0.2005,0.5136
S00151,childhood,mimo,0.8647,0.3696,0.4115,0.7588,0.4370,0.2813,0.3678,0.6093,0.8376,0.9880,0.1435,0.3510
S00152,childhood,cue,0.6290,0.3357,0.4203,0.6426,0.5022,0.3868,0.2939,0.3456,0.8032,0.9864,0.1952,0.3042
S00153,childhood,neurofeedback,0.7289,0.4555,0.5180,0.6207,0.5616,0.3909,0.6543,0.6114,0.7865,0.9908,0.1403,0.2857
S00154,childhood,dbs,0.8206,0.4444,0.5184,0.7044,0.6098,0.2257,0.8363,0.5350,0.5849,0.9975,0.0953,0.5731
S00155,childhood,mimo,0.8305,0.4369,0.3169,0.6556,0.5230,0.3176,0.6420,0.3598,0.7521,0.9927,0.1444,0.4306
S00156,childhood,cue,0.5923,0.4206,0.5590,0.5473,0.5925,0.2165,0.5004,0.3270,0.1697,0.9834,0.1953,0.3355
S00157,childhood,neurofeedback,0.7724,0.3401,0.5360,0.6713,0.5206,0.2176,0.6574,0.3113,0.3902,0.9909,0.1511,0.2335
S00158,childhood,dbs,0.6521,0.4488,0.2975,0.6113,0.4199,0.3577,0.2855,0.3630,0.2976,0.9885,0.2071,0.5740
S00159,childhood,mimo,0.7131,0.4192,0.3748,0.6956,0.5044,0.3536,0.1814,0.6432,0.2996,0.9943,0.1536,0.4031
S00160,childhood,cue,0.7779,0.3265,0.3069,0.6366,0.4557,0.2401,0.7510,0.5436,0.3880,0.9901,0.1920,0.3117
S00161,childhood,neurofeedback,0.8156,0.4703,0.4746,0.5829,0.5001,0.2872,0.6084,0.5361,0.6662,0.9943,0.1406,0.2860
S00162,childhood,dbs,0.7001,0.5592,0.4295,0.5441,0.4172,0.4048,0.5044,0.4170,0.6978,0.9801,0.1909,0.6085
S00163,childhood,mimo,0.7484,0.5087,0.5182,0.6639,0.5961,0.1794,0.7127,0.4498,0.2406,0.9962,0.1181,0.4407
S00164,childhood,cue,0.6986,0.5193,0.3871,0.7542,0.5670,0.2456,0.3382,0.7196,0.5098,0.9968,0.1237,0.4071
S00165,childhood,neurofeedback,0.4574,0.3902,0.3891,0.5218,0.4173,0.3955,0.2114,0.2440,0.3156,0.9718,0.2709,0.2551
S00166,childhood,dbs,0.8629,0.5529,0.3797,0.7395,0.5295,0.3723,0.8702,0.5914,0.8850,0.9937,0.0998,0.6631
S00167,childhood,mimo,0.8175,0.3418,0.4588,0.6162,0.6140,0.2747,0.4314,0.3912,0.6569,0.9915,0.1424,0.3749
S00168,childhood,cue,0.6396,0.4439,0.3158,0.6207,0.4067,0.2613,0.4668,0.5185,0.4366,0.9952,0.2077,0.3498
S00169,childhood,neurofeedback,0.7518,0.4190,0.3103,0.6886,0.4659,0.1646,0.6460,0.1490,0.2297,0.9934,0.1743,0.2877
S00170,childhood,dbs,0.7418,0.4376,0.5219,0.6207,0.5256,0.2751,0.8462,0.2844,0.6737,0.9956,0.1416,0.5349
S00171,childhood,mimo,0.6233,0.5043,0.5096,0.7136,0.4585,0.2463,0.2062,0.2557,0.6940,0.9904,0.1630,0.4025
S00172,childhood,cue,0.6214,0.5908,0.3168,0.6402,0.3630,0.3836,0.2097,0.5841,0.7525,0.9732,0.2137,0.4037
S00173,childhood,neurofeedback,0.7673,0.4694,0.3778,0.7278,0.4297,0.2034,0.7880,0.1720,0.2304,0.9939,0.1518,0.2877
S00174,childhood,dbs,0.7566,0.4794,0.4447,0.7024,0.5029,0.2109,0.6524,0.6287,0.6767,0.9986,0.1278,0.5803
S00175,childhood,mimo,0.8621,0.3675,0.5214,0.7138,0.5163,0.3662,0.5226,0.7066,0.9395,0.9892,0.1246,0.3465
S00176,childhood,cue,0.5978,0.4739,0.4136,0.5546,0.5322,0.2053,0.1319,0.1563,0.7814,0.9955,0.1971,0.3735
S00177,childhood,neurofeedback,0.7618,0.5288,0.5085,0.5940,0.5508,0.4020,0.7464,0.4418,0.4626,0.9895,0.1357,0.3113
S00178,childhood,dbs,0.6404,0.5175,0.4909,0.5429,0.6429,0.3249,0.3474,0.5650,0.7425,0.9858,0.1670,0.6461
S00179,childhood,mimo,0.8364,0.3967,0.3251,0.7322,0.5239,0.2185,0.8091,0.5829,0.1735,0.9924,0.1409,0.4085
S00180,childhood,cue,0.6085,0.4535,0.3084,0.6810,0.4004,0.3138,0.1823,0.4643,0.7282,0.9882,0.2075,0.3540
S00181,childhood,neurofeedback,0.7123,0.4981,0.4049,0.5341,0.4852,0.3305,0.6925,0.3716,0.4074,0.9921,0.1777,0.3044
S00182,childhood,dbs,0.6617,0.4771,0.3034,0.5568,0.5431,0.2677,0.4721,0.2894,0.8259,0.9945,0.1909,0.6393
S00183,childhood,mimo,0.7878,0.4364,0.3733,0.6771,0.5980,0.4224,0.8204,0.5763,0.3461,0.9904,0.1321,0.4380
S00184,childhood,cue,0.5988,0.5826,0.4541,0.5784,0.6135,0.4569,0.5239,0.2629,0.5436,0.9740,0.1825,0.4327
S00185,childhood,neurofeedback,0.6266,0.4080,0.5518,0.4642,0.4291,0.2797,0.2068,0.6120,0.2099,0.9789,0.2287,0.2374
S00186,childhood,dbs,0.6225,0.4307,0.4366,0.5745,0.5583,0.4700,0.2622,0.5880,0.6178,0.9779,0.1944,0.5698
S00187,childhood,mimo,0.8365,0.3959,0.3447,0.6618,0.4597,0.3412,0.7611,0.5381,0.1823,0.9893,0.1582,0.3859
S00188,childhood,cue,0.7898,0.3408,0.2649,0.7045,0.6189,0.2144,0.6985,0.2699,0.5196,0.9859,0.1664,0.3655
S00189,childhood,neurofeedback,0.7981,0.4231,0.3220,0.7322,0.5873,0.2670,0.7502,0.1331,0.2016,0.9948,0.1278,0.3110
S00190,childhood,dbs,0.5511,0.4018,0.3604,0.6582,0.4061,0.3726,0.1236,0.5299,0.2882,0.9827,0.2248,0.5155
S00191,childhood,mimo,0.7082,0.4955,0.4835,0.6836,0.6166,0.4053,0.2098,0.2397,0.8577,0.9920,0.1224,0.4477
